street_name,year,month,legal_p_at_12,legal_p_at_17,legal_p_at_22,parked_cars_at_12,parked_cars_at_17,parked_cars_at_22,occupancy_at_12_pct,occupancy_at_17_pct,occupancy_at_22_pct,wkb_geometry
A.L. Drewsens Vej,2014,3,18,18,18,22,23,23,122.0,128.0,128.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2014,9,6,6,6,6,5,10,100.0,83.0,167.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2014,9,18,18,18,22,23,25,122.0,128.0,139.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2015,3,6,6,6,4,8,8,67.0,133.0,133.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2015,3,18,18,18,18,18,22,100.0,100.0,122.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2015,9,6,6,6,6,7,9,100.0,117.0,150.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2015,9,18,18,18,18,23,25,100.0,128.0,139.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2016,3,6,6,6,1,5,9,17.0,83.0,150.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
A.L. Drewsens Vej,2016,3,18,18,18,7,20,19,39.0,111.0,106.0,"MULTILINESTRING ((12.582957054327226 55.701534569984396, 12.582615249516282 55.701747825563785, 12.582613435593778 55.70174895457828, 12.582295178890883 55.70194750313919))"
A.L. Drewsens Vej,2016,9,6,6,6,6,8,9,100.0,133.0,150.0,"MULTILINESTRING ((12.583518678317224 55.700905379822316, 12.583518670189873 55.70090539018841, 12.583517735718166 55.70090659321995, 12.583090885425934 55.70145107224678))"
